text,spam
"Your two-factor authentication code is 483921. Do not share the code with anyone, including support staff.",0
"You have won ₹10,000 in our promotional draw. Send the requested information to release your prize. Please complete the request by Monday.",1
"A refund of ₹1,00,000 is waiting for you. Confirm your card information so the payment can be released. Please complete the request by the end of this week.",1
Your job application has been received. The recruitment team will contact you if your application moves to the next stage.,0
Your streaming subscription could not be renewed. Update your payment details now to prevent cancellation. Complete the process to avoid interruption.,1
Your cloud storage is full. Verify your billing information to prevent your files from being deleted.,1
"Hi, your Microsoft password was changed successfully. No further action is required if you recognize this activity.",0
"Congratulations, you have been selected to receive ₹25,000. Claim the reward by confirming your details. Please complete the request by 11:59 PM.",1
"You have won ₹50,000 in our promotional draw. Send the requested information to release your prize. Please complete the request by Monday.",1
"Hi, your support request has been received and is now in our queue. You can review the updated information at your convenience.",0
Your parcel is being held because of an address issue. Pay the ₹99 redelivery charge to schedule delivery. Please complete the request by next Tuesday.,1
"A remote job paying $2,000 per month is available for you. No experience is required. Register to begin. Failure to act may result in suspension.",1
Please note that your two-step verification code is 184203. Never share this code with anyone. You can review the details from your account dashboard.,0
"For your records, your application was submitted successfully. You can check its status from the student or customer portal. No further action is required if you recognize this activity.",0
This is a notification that your order from Book House has shipped and is expected to arrive 15 September. Please contact the organization through its usual official channel if you have questions.,0
Just a quick update: your bank statement for this month is now available. You can review the details from your account dashboard.,0
A remote job paying ₹10 lakh per month is available for you. No experience is required. Register to begin. Failure to act may result in suspension.,1
"Hi, your Adobe password was changed successfully. The relevant details are available in your account.",0
"You have won $2,000 in our promotional draw. Send the requested information to release your prize. Please complete the request by Monday.",1
"A remote job paying ₹50,000 per month is available for you. No experience is required. Register to begin. Please complete the request by the end of this week.",1
"Congratulations, you have been selected to receive ₹1,00,000. Claim the reward by confirming your details. Please complete the request by 11:59 PM.",1
This is a notification that your refund has been processed and will appear according to your bank's normal processing time. You can review the updated information at your convenience.,0
"Hi, your Microsoft password was changed successfully. Please contact the organization through its usual official channel if you have questions.",0
This is a notification that your order from Book House has shipped and is expected to arrive the end of this week. The relevant details are available in your account.,0
"Security notification: A remote job paying ₹10,000 per month is available for you. No experience is required. Register to begin. Complete the process to avoid interruption.",1
"For your records, your card payment of ₹5,000 at Coffee Corner was processed successfully. Please contact the organization through its usual official channel if you have questions.",0
"Hello, your Google account recorded a new sign-in from a device you recently used. Please contact the organization through its usual official channel if you have questions.",0
"For your records, your card payment of ₹1,00,000 at Coffee Corner was processed successfully. Please contact the organization through its usual official channel if you have questions.",0
Security notification: Your device has been detected with a critical security threat. Contact technical support immediately for assistance. Your access may be limited if this is not completed.,1
A refund of $500 is waiting for you. Confirm your card information so the payment can be released. Failure to act may result in suspension.,1
This is a notification that your refund has been processed and will appear according to your bank's normal processing time. No further action is required if you recognize this activity.,0
Please note that your assignment submission was received successfully. Please contact the organization through its usual official channel if you have questions.,0
Please note that your two-step verification code is 958314. Never share this code with anyone. You can review the updated information at your convenience.,0
"Congratulations, you have been selected to receive $500. Claim the reward by confirming your details. Your access may be limited if this is not completed.",1
Your account will be closed within 24 hours unless you verify your information through the provided process. The request will expire soon.,1
"Security notification: You have won ₹10,000 in our promotional draw. Send the requested information to release your prize. The request will expire soon.",1
"A remote job paying ₹10,000 per month is available for you. No experience is required. Register to begin. Failure to act may result in suspension.",1
"A refund of ₹25,000 is waiting for you. Confirm your card information so the payment can be released. Failure to act may result in suspension.",1
Urgent notice: Your streaming subscription could not be renewed. Update your payment details now to prevent cancellation. The request will expire soon.,1
Your Netflix payment failed. Update your billing information today or your subscription will be cancelled.,1
"Congratulations, you have been selected to receive $500. Claim the reward by confirming your details. Please complete the request by 11:59 PM.",1
"A remote job paying $2,000 per month is available for you. No experience is required. Register to begin. Please complete the request by the end of this week.",1
"Hi, your Adobe password was changed successfully. No further action is required if you recognize this activity.",0
"For your records, your application was submitted successfully. You can check its status from the student or customer portal. You can review the updated information at your convenience.",0
"For your records, your card payment of ₹5,000 at Coffee Corner was processed successfully. You can review the details from your account dashboard.",0
"For your records, your card payment of ₹5,000 at Coffee Corner was processed successfully. The relevant details are available in your account.",0
Just a quick update: scheduled maintenance will take place tonight. Some features may be unavailable during the maintenance window. Please contact the organization through its usual official channel if you have questions.,0
This is a notification that your refund has been processed and will appear according to your bank's normal processing time. Please contact the organization through its usual official channel if you have questions.,0
"For your records, your card payment of ₹1,00,000 at Coffee Corner was processed successfully. You can review the updated information at your convenience.",0
Your parcel is being held because of an address issue. Pay the ₹49 redelivery charge to schedule delivery. The request will expire soon.,1
"For your records, your card payment of ₹5,000 at Coffee Corner was processed successfully. No further action is required if you recognize this activity.",0
You have won ₹10 lakh in our promotional draw. Send the requested information to release your prize. Please complete the request by Monday.,1
You are eligible for an exclusive investment opportunity with guaranteed weekly returns.,1
"For your records, your application was submitted successfully. You can check its status from the student or customer portal. The relevant details are available in your account.",0
"You have won ₹10,000 in our promotional draw. Send the requested information to release your prize. Complete the process to avoid interruption.",1
"Urgent notice: A refund of ₹1,00,000 is waiting for you. Confirm your card information so the payment can be released. Complete the process to avoid interruption.",1
"Security notification: A remote job paying $2,000 per month is available for you. No experience is required. Register to begin. Complete the process to avoid interruption.",1
Earn guaranteed returns with our private investment program. Deposit $500 today to activate your account. Please complete the request by 15 September.,1
"Hello, your Google account recorded a new sign-in from a device you recently used. You can review the updated information at your convenience.",0
Your monthly newsletter is ready because you subscribed to updates from our organization. You can manage preferences from your account.,0
Your package was delivered successfully and the delivery record is now available in your order history.,0
A payment of ₹49 is required to release your parcel. Confirm your card details to continue delivery.,1
"A refund of ₹1,00,000 is waiting for you. Confirm your card information so the payment can be released. Failure to act may result in suspension.",1
Please note that your assignment submission was received successfully. You can review the details from your account dashboard.,0
"Congratulations, you have been selected to receive ₹5,000. Claim the reward by confirming your details. Your access may be limited if this is not completed.",1
"Your password reset request was received. If you did not make this request, you can ignore this message.",0
"You have won $2,000 in our promotional draw. Send the requested information to release your prize. Complete the process to avoid interruption.",1
You have been selected for a work-from-home position. Pay the registration fee to activate your employee profile.,1
"Hello, the project meeting has been moved to 2 PM tomorrow. The relevant details are available in your account.",0
A remote job paying ₹10 lakh per month is available for you. No experience is required. Register to begin. Please complete the request by the end of this week.,1
Urgent notice: Your parcel is being held because of an address issue. Pay the ₹25 redelivery charge to schedule delivery. Do not delay this verification.,1
Just a quick update: scheduled maintenance will take place tonight. Some features may be unavailable during the maintenance window. No further action is required if you recognize this activity.,0
"Hello, the project meeting has been moved to 10 AM tomorrow. No further action is required if you recognize this activity.",0
Your bank account has been placed under review. Confirm your identity immediately to restore online access. Your access may be limited if this is not completed.,1
"Hi, your Adobe password was changed successfully. Please contact the organization through its usual official channel if you have questions.",0
"Urgent notice: Congratulations, you have been selected to receive ₹5,000. Claim the reward by confirming your details. Failure to act may result in suspension.",1
Security notification: Your bank account has been placed under review. Confirm your identity immediately to restore online access. Failure to act may result in suspension.,1
"Hello, your Dropbox account recorded a new sign-in from a device you recently used. No further action is required if you recognize this activity.",0
Just a quick update: your bank statement for this month is now available. You can review the updated information at your convenience.,0
"Hello, the project meeting has been moved to 11:30 AM tomorrow. Please contact the organization through its usual official channel if you have questions.",0
"Hello, your Google account recorded a new sign-in from a device you recently used. No further action is required if you recognize this activity.",0
"For your records, your application was submitted successfully. You can check its status from the student or customer portal. You can review the details from your account dashboard.",0
Your account will be permanently deleted unless you complete the security verification today.,1
Please note that your assignment submission was received successfully. The relevant details are available in your account.,0
This is a notification that your refund has been processed and will appear according to your bank's normal processing time. You can review the details from your account dashboard.,0
Security notification: Your account will be closed within 24 hours unless you verify your information through the provided process. Do not delay this verification.,1
Security notification: You have won ₹10 lakh in our promotional draw. Send the requested information to release your prize. The request will expire soon.,1
"Hi, your Microsoft password was changed successfully. The relevant details are available in your account.",0
Your bank card was used for an unusual purchase. Click the verification link to cancel the transaction.,1
Please note that your two-step verification code is 630481. Never share this code with anyone. Please contact the organization through its usual official channel if you have questions.,0
"Hello, the project meeting has been moved to 9 AM tomorrow. You can review the details from your account dashboard.",0
